Position,Track Name,Artist,Streams,URL,Date
25,Someone You Loved,Lewis Capaldi,658766,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,1/3/2020
26,VIBEZ,DaBaby,654069,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,1/3/2020
27,Lose You To Love Me,Selena Gomez,647766,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,1/3/2020
28,Woah,Lil Baby,625266,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,1/3/2020
29,Lucid Dreams,Juice WRLD,604444,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,1/3/2020
30,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,596619,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,1/3/2020
31,Suge,DaBaby,591074,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,1/3/2020
32,bad guy,Billie Eilish,585982,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1/3/2020
33,Robbery,Juice WRLD,554280,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,1/3/2020
34,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,528431,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e,1/3/2020
35,Ransom,Lil Tecca,526937,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,1/3/2020
36,Truth Hurts,Lizzo,520022,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,1/3/2020
37,SUGAR,BROCKHAMPTON,518970,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,1/3/2020
38,"10,000 Hours (with Justin Bieber)",Dan + Shay,508210,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,1/3/2020
39,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,502528,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,1/3/2020
